;Ethereum;Gold
16/01/2020;5.09;7.347628255
17/01/2020;5.14;7.350670303
20/01/2020;5.12;7.352934568
21/01/2020;5.13;7.351267335
22/01/2020;5.12;7.351658743
23/01/2020;5.09;7.354323942
24/01/2020;5.09;7.359804946
27/01/2020;5.14;7.366483074
28/01/2020;5.15;7.357026724
29/01/2020;5.17;7.363171782
30/01/2020;5.22;7.361553304
31/01/2020;5.20;7.370960854
03/02/2020;5.24;7.363108361
04/02/2020;5.23;7.347892309
05/02/2020;5.33;7.349886558
06/02/2020;5.36;7.356701244
07/02/2020;5.39;7.359111114
10/02/2020;5.41;7.360199388
11/02/2020;5.47;7.357486045
12/02/2020;5.60;7.35631819
13/02/2020;5.57;7.36264527
14/02/2020;5.65;7.36774645
17/02/2020;5.56;7.36589506
18/02/2020;5.64;7.378764652
19/02/2020;5.57;7.385044802
20/02/2020;5.56;7.389909786
21/02/2020;5.57;7.40452863
24/02/2020;5.57;7.414199318
25/02/2020;5.52;7.399483707
26/02/2020;5.41;7.403036715
27/02/2020;5.42;7.405501742
28/02/2020;5.42;7.368774923
02/03/2020;5.45;7.371137032
03/03/2020;5.41;7.403000151
04/03/2020;5.41;7.400577815
05/03/2020;5.44;7.421913344
06/03/2020;5.48;7.422869693
09/03/2020;5.29;7.426828795
10/03/2020;5.31;7.408166864
11/03/2020;5.26;7.399422548
12/03/2020;4.86;7.362740444
13/03/2020;4.86;7.332911897
16/03/2020;4.69;7.322576482
17/03/2020;4.78;7.331911286
18/03/2020;4.76;7.303876872
19/03/2020;4.92;7.293860862
20/03/2020;4.83;7.312319982
23/03/2020;4.88;7.348091913
24/03/2020;4.94;7.397757595
25/03/2020;4.91;7.388266015
26/03/2020;4.92;7.397157042
27/03/2020;4.92;7.395205822
30/03/2020;4.90;7.391729612
31/03/2020;4.90;7.363393721
01/04/2020;4.89;7.37243853
02/04/2020;4.95;7.386464653
03/04/2020;4.95;7.390681303
06/04/2020;5.10;7.415157048
07/04/2020;5.10;7.407147793
08/04/2020;5.15;7.406188432
09/04/2020;5.14;7.428766849
10/04/2020;5.07;7.436410998
13/04/2020;5.05;7.447366591
14/04/2020;5.07;7.454123707
15/04/2020;5.06;7.448351333
16/04/2020;5.15;7.448741466
17/04/2020;5.14;7.428226237
20/04/2020;5.15;7.435821427
21/04/2020;5.15;7.430232755
22/04/2020;5.21;7.446631773
23/04/2020;5.24;7.456171442
24/04/2020;5.24;7.455645447
27/04/2020;5.27;7.446579265
28/04/2020;5.28;7.442955416
29/04/2020;5.38;7.446240816
30/04/2020;5.36;7.430410655
01/05/2020;5.35;7.438630558
04/05/2020;5.33;7.439600436
05/05/2020;5.32;7.441859834
06/05/2020;5.33;7.429942119
07/05/2020;5.36;7.447786244
08/05/2020;5.37;7.439970505
11/05/2020;5.23;7.437165141
12/05/2020;5.25;7.439970505
13/05/2020;5.29;7.447914437
14/05/2020;5.31;7.456050083
15/05/2020;5.26;7.463747366
18/05/2020;5.36;7.457349591
19/05/2020;5.36;7.464538488
20/05/2020;5.35;7.466330526
21/05/2020;5.29;7.454141078
22/05/2020;5.34;7.458578237
25/05/2020;5.32;7.45700322
26/05/2020;5.31;7.444587773
27/05/2020;5.33;7.44393866
28/05/2020;5.37;7.449108168
29/05/2020;5.39;7.456032745
01/06/2020;5.49;7.461381738
02/06/2020;5.47;7.454546323
03/06/2020;5.49;7.438189394
04/06/2020;5.49;7.446590933
05/06/2020;5.49;7.42955645
08/06/2020;5.49;7.43751845
09/06/2020;5.50;7.447360761
10/06/2020;5.51;7.460892987
11/06/2020;5.45;7.454546323
12/06/2020;5.47;7.45631012
15/06/2020;5.45;7.453075079
16/06/2020;5.45;7.453868893
17/06/2020;5.44;7.454112126
18/06/2020;5.43;7.451781609
19/06/2020;5.43;7.46386206
22/06/2020;5.50;7.469899297
23/06/2020;5.50;7.477836117
24/06/2020;5.46;7.47373364
25/06/2020;5.45;7.475220182
26/06/2020;5.44;7.479463374
29/06/2020;5.43;7.480326778
30/06/2020;5.42;7.484907824
01/07/2020;5.44;7.478785672
02/07/2020;5.42;7.481769764
03/07/2020;5.42;7.48209077
06/07/2020;5.47;7.486994406
07/07/2020;5.47;7.492682303
08/07/2020;5.51;7.500468676
09/07/2020;5.49;7.497512224
10/07/2020;5.48;7.494819461
13/07/2020;5.48;7.497074103
14/07/2020;5.49;7.500728471
15/07/2020;5.47;7.501242332
16/07/2020;5.45;7.49396292
17/07/2020;5.45;7.501314142
20/07/2020;5.47;7.505365754
21/07/2020;5.50;7.518558356
22/07/2020;5.51;7.534447436
23/07/2020;5.61;7.542976693
24/07/2020;5.66;7.550671758
27/07/2020;5.78;7.571597225
28/07/2020;5.77;7.579898411
29/07/2020;5.78;7.586189757
30/07/2020;5.82;7.578983995
31/07/2020;5.85;7.588759026
03/08/2020;5.97;7.589325707
04/08/2020;5.96;7.610461625
05/08/2020;5.99;7.619783093
06/08/2020;5.98;7.632178234
07/08/2020;5.93;7.618521332
10/08/2020;5.98;7.614479868
11/08/2020;5.92;7.555847561
12/08/2020;5.96;7.557906228
13/08/2020;6.02;7.577485408
14/08/2020;6.08;7.573078951
17/08/2020;6.08;7.593525315
18/08/2020;6.06;7.602121716
19/08/2020;6.00;7.564746645
20/08/2020;6.03;7.574178535
21/08/2020;5.98;7.570690644
24/08/2020;5.99;7.564694803
25/08/2020;5.93;7.564331832
26/08/2020;5.96;7.577869219
27/08/2020;5.94;7.565036912
28/08/2020;5.98;7.583161007
31/08/2020;6.07;7.584671446
01/09/2020;6.18;7.585880188
02/09/2020;6.08;7.571947275
03/09/2020;6.01;7.565746673
04/09/2020;5.97;7.567314652
07/09/2020;5.84;7.567159516
08/09/2020;5.82;7.566326543
09/09/2020;5.87;7.573962824
10/09/2020;5.90;7.57357751
11/09/2020;5.91;7.570726717
14/09/2020;5.93;7.579096427
15/09/2020;5.90;7.577710595
16/09/2020;5.90;7.58032213
17/09/2020;5.97;7.572729297
18/09/2020;5.94;7.57602558
21/09/2020;5.85;7.556171794
22/09/2020;5.84;7.549719685
23/09/2020;5.78;7.530125855
24/09/2020;5.85;7.532661091
25/09/2020;5.87;7.529180868
28/09/2020;5.89;7.53981398
29/09/2020;5.88;7.548592859
30/09/2020;5.88;7.542118019
01/10/2020;5.86;7.552767331
02/10/2020;5.85;7.549524951
05/10/2020;5.86;7.556704983
06/10/2020;5.82;7.538058502
07/10/2020;5.83;7.542966096
08/10/2020;5.86;7.546351232
09/10/2020;5.90;7.565482514
12/10/2020;5.96;7.561522134
13/10/2020;5.94;7.545051426
14/10/2020;5.93;7.550408845
15/10/2020;5.94;7.5541829
16/10/2020;5.90;7.549235411
19/10/2020;5.94;7.551754231
20/10/2020;5.91;7.553260386
21/10/2020;5.98;7.562333134
22/10/2020;6.04;7.551769987
23/10/2020;6.01;7.550687531
26/10/2020;5.97;7.550703303
27/10/2020;6.00;7.553805611
28/10/2020;5.96;7.537531257
29/10/2020;5.96;7.532404109
30/10/2020;5.95;7.538393877
02/11/2020;5.95;7.547227384
03/11/2020;5.95;7.554423872
04/11/2020;5.99;7.551144828
05/11/2020;6.03;7.575410277
06/11/2020;6.10;7.57627672
09/11/2020;6.10;7.529964841
10/11/2020;6.11;7.537600507
11/11/2020;6.15;7.531407676
12/11/2020;6.14;7.537339462
13/11/2020;6.16;7.543908738
16/11/2020;6.13;7.543776398
17/11/2020;6.18;7.539229163
18/11/2020;6.16;7.534890854
19/11/2020;6.16;7.531841729
20/11/2020;6.23;7.534222982
23/11/2020;6.41;7.51635713
24/11/2020;6.40;7.499749745
25/11/2020;6.36;7.499733149
26/11/2020;6.24;7.504281421
27/11/2020;6.25;7.488735499
30/11/2020;6.41;7.48265369
01/12/2020;6.39;7.503972969
02/12/2020;6.39;7.512770455
03/12/2020;6.42;7.518107635
04/12/2020;6.36;7.516901093
07/12/2020;6.38;7.529798433
08/12/2020;6.34;7.53399313
09/12/2020;6.36;7.517276255
10/12/2020;6.33;7.515654981
11/12/2020;6.31;7.517439326
14/12/2020;6.37;7.510622109
15/12/2020;6.38;7.524906553
16/12/2020;6.44;7.530909088
17/12/2020;6.46;7.541905887
18/12/2020;6.48;7.539744883
21/12/2020;6.43;7.537371431
22/12/2020;6.43;7.528783278
23/12/2020;6.39;7.535237971
24/12/2020;6.41;7.54086579
28/12/2020;6.59;7.535665028
29/12/2020;6.59;7.538058502
30/12/2020;6.62;7.546652166
31/12/2020;6.61;7.548745635
01/01/2021;6.59;7.54890892
04/01/2021;6.92;7.571936981
05/01/2021;6.99;7.57558978
06/01/2021;7.08;7.559356245
07/01/2021;7.13;7.556924448
08/01/2021;7.08;7.52240564
11/01/2021;6.94;7.519632749
12/01/2021;6.98;7.525515978
13/01/2021;7.03;7.520510941
14/01/2021;7.08;7.521063481
15/01/2021;7.06;7.511223892
18/01/2021;7.12;7.518205399
19/01/2021;7.25;7.517673013
20/01/2021;7.19;7.534677183
21/01/2021;7.07;7.533704405
22/01/2021;7.13;7.525968762
25/01/2021;7.21;7.526141197
26/01/2021;7.20;7.523438092
27/01/2021;7.15;7.519681558
28/01/2021;7.21;7.519242194
29/01/2021;7.23;7.52166984
01/02/2021;7.21;7.528751034
02/02/2021;7.33;7.516449625
03/02/2021;7.40;7.514276463
04/02/2021;7.40;7.492219765
05/02/2021;7.45;7.503350268
08/02/2021;7.44;7.512513771
09/02/2021;7.48;7.51660739
10/02/2021;7.45;7.519090271
11/02/2021;7.48;7.509614679
12/02/2021;7.52;7.508913259
15/02/2021;7.49;7.50596521
16/02/2021;7.47;7.492464993
17/02/2021;7.53;7.482192119
18/02/2021;7.57;7.481933095
19/02/2021;7.58;7.486753438
22/02/2021;7.50;7.500899787
23/02/2021;7.34;7.498720221
24/02/2021;7.37;7.498349111
25/02/2021;7.33;7.47905116
26/02/2021;7.27;7.458209225
01/03/2021;7.34;7.453005518
02/03/2021;7.29;7.460697419
03/03/2021;7.37;7.444967689
04/03/2021;7.32;7.436923641
05/03/2021;7.33;7.43875993
08/03/2021;7.49;7.428653998
09/03/2021;7.51;7.447809553
10/03/2021;7.50;7.453973143
11/03/2021;7.52;7.451590056
12/03/2021;7.47;7.45420477
15/03/2021;7.49;7.45684154
16/03/2021;7.49;7.456685609
17/03/2021;7.50;7.464698929
18/03/2021;7.48;7.459580801
19/03/2021;7.51;7.464641631
22/03/2021;7.43;7.461082765
23/03/2021;7.42;7.45418161
24/03/2021;7.39;7.458584002
25/03/2021;7.38;7.454100545
26/03/2021;7.42;7.457332275
29/03/2021;7.50;7.445534372
30/03/2021;7.52;7.42963953
31/03/2021;7.57;7.442908571
01/04/2021;7.59;7.455477764
02/04/2021;7.65;7.455223295
